Date,Algae,Species,SampleiD,Depth,Temperature,Light,Respiration,netPhotosynthesis,grossPhotosynthesis,PR_ratio
23/09/2021,green,Udotea,1,10,21,control,-0.001415133,0.006985708,0.008400841,4.936432363
23/09/2021,green,Udotea,2,10,21,control,-0.00121556,0.00781802,0.00903358,6.431620451
23/09/2021,green,Udotea,3,10,21,control,-0.000944346,0.007404183,0.008348529,7.840542991
23/09/2021,green,Udotea,4,10,21,control,-0.001321043,0.006801123,0.008122166,5.148298952
23/09/2021,green,Udotea,5,10,21,control,-0.001419122,0.007391222,0.008810344,5.208308214
24/10/2021,red,Phyllophora,1,10,21,control,-0.001266228,0.004965047,0.006231275,3.921132975
24/10/2021,red,Phyllophora,2,10,21,control,-0.001484511,0.007003973,0.008488483,4.718035197
24/10/2021,red,Phyllophora,3,10,21,control,-0.001903928,0.007600287,0.009504214,3.991899113
24/10/2021,red,Phyllophora,4,10,21,control,-0.001474927,0.006870823,0.008345751,4.658414443
24/10/2021,red,Phyllophora,5,10,21,control,-0.001596566,0.006567649,0.008164215,4.113609088
24/10/2021,green,Udotea,1,20,21,control,-0.000889092,0.004309432,0.005198524,4.847004605
24/10/2021,green,Udotea,2,20,21,control,-0.000597794,0.003849774,0.004447568,6.439964142
24/10/2021,green,Udotea,3,20,21,control,-0.000494434,0.002334079,0.002828513,4.720705948
24/10/2021,green,Udotea,4,20,21,control,-0.000881482,0.003495854,0.004377336,3.965881863
24/10/2021,green,Udotea,5,20,21,control,-0.000530596,0.005520013,0.006050609,10.40342069
25/10/2021,green,Udotea,1,20,26,control,-0.00104321,0.000817558,0.001860769,0.783694407
25/10/2021,green,Udotea,2,20,26,control,-0.001572725,0.00467802,0.006250745,2.97446896
25/10/2021,green,Udotea,3,20,26,control,-0.001777555,0.006274385,0.008051939,3.529784286
25/10/2021,green,Udotea,4,20,26,control,-0.002029653,0.003093568,0.005123221,1.5241854
25/10/2021,green,Udotea,5,20,26,control,-0.001781029,0.003706161,0.00548719,2.080909769
25/10/2021,green,Udotea,6,20,26,control,-0.001366476,0.005454926,0.006821402,3.991966226
25/10/2021,green,Udotea,1,20,30,control,-0.001609261,0.001656174,0.003265435,1.029152169
25/10/2021,green,Udotea,2,20,30,control,-0.002530968,0.007397676,0.009928644,2.922863893
25/10/2021,green,Udotea,3,20,30,control,-0.002598338,0.009989341,0.012587679,3.844511872
25/10/2021,green,Udotea,4,20,30,control,-0.002614048,0.004535907,0.007149955,1.735204063
25/10/2021,green,Udotea,5,20,30,control,-0.002037226,0.002116034,0.004153261,1.038683941
25/10/2021,green,Udotea,6,20,30,control,-0.00173668,0.002215058,0.003951737,1.275455367
27/10/2021,green,Udotea,1,20,30,medium,-0.002226342,0.006432716,0.008659058,2.889366288
27/10/2021,green,Udotea,2,20,30,medium,-0.001812329,0.006455825,0.008268154,3.562170301
27/10/2021,green,Udotea,3,20,30,medium,-0.004830113,0.009214459,0.014044572,1.90771102
27/10/2021,green,Udotea,4,20,30,medium,-0.003279984,0.006084376,0.00936436,1.855001549
27/10/2021,green,Udotea,5,20,30,medium,-0.001819635,0.008428669,0.010248303,4.632066504
27/10/2021,green,Udotea,6,20,30,medium,-0.002277183,0.005997662,0.008274846,2.633807422
27/10/2021,green,Udotea,1,20,26,medium,-0.001141243,0.006380947,0.00752219,5.59122322
27/10/2021,green,Udotea,2,20,26,medium,-0.001425297,0.006662275,0.008087572,4.674306835
27/10/2021,green,Udotea,3,20,26,medium,-0.001217632,0.005956494,0.007174126,4.891865513
27/10/2021,green,Udotea,4,20,26,medium,-0.001339849,0.005762146,0.007101994,4.300594353
27/10/2021,green,Udotea,5,20,26,medium,-0.001249334,0.006903255,0.008152589,5.525546397
27/10/2021,green,Udotea,6,20,26,medium,-0.001479814,0.006334051,0.007813865,4.280301761
27/10/2021,green,Udotea,1,20,30,high,-0.00185799,0.004701138,0.006559127,2.530228222
27/10/2021,green,Udotea,2,20,30,high,-0.002366734,0.007510733,0.009877466,3.173458718
27/10/2021,green,Udotea,3,20,30,high,-0.001918878,0.004682518,0.006601395,2.440237742
27/10/2021,green,Udotea,4,20,30,high,-0.002958411,0.007844309,0.01080272,2.651527275
27/10/2021,green,Udotea,5,20,30,high,-0.002103043,0.005493508,0.007596551,2.612170768
27/10/2021,green,Udotea,6,20,30,high,-0.002695079,0.008417658,0.011112737,3.123343805
27/10/2021,green,Udotea,1,20,26,high,-0.001800313,0.007813869,0.009614182,4.340283694
27/10/2021,green,Udotea,2,20,26,high,-0.001412908,0.007129383,0.008542291,5.04589229
27/10/2021,green,Udotea,3,20,26,high,-0.001646122,0.007407237,0.009053359,4.499811811
27/10/2021,green,Udotea,4,20,26,high,-0.001734747,0.006059413,0.00779416,3.492965492
27/10/2021,green,Udotea,5,20,26,high,-0.001321077,0.003975103,0.00529618,3.008986906
27/10/2021,green,Udotea,6,20,26,high,-0.001835534,0.004251156,0.00608669,2.316032147
26/10/2021,green,Udotea,1,20,21,medium,-0.000877937,0.001170856,0.002048793,1.333645016
26/10/2021,green,Udotea,2,20,21,medium,-0.001299265,0.004191533,0.005490798,3.226079635
26/10/2021,green,Udotea,3,20,21,medium,-0.001030078,0.002138004,0.003168082,2.075574541
26/10/2021,green,Udotea,4,20,21,medium,-0.001645074,0.002305219,0.003950293,1.401285664
26/10/2021,green,Udotea,5,20,21,medium,-0.001279916,0.001810349,0.003090265,1.414428112
26/10/2021,green,Udotea,6,20,21,medium,-0.002102637,0.005493419,0.007596056,2.61263375
26/10/2021,green,Udotea,1,20,21,high,-0.001124281,0.002146219,0.0032705,1.908969431
26/10/2021,green,Udotea,2,20,21,high,-0.001016218,0.004219784,0.005236002,4.152439325
26/10/2021,green,Udotea,3,20,21,high,-0.001937028,0.002469111,0.004406138,1.274690202
26/10/2021,green,Udotea,4,20,21,high,-0.001310374,0.002869646,0.00418002,2.189943558
26/10/2021,green,Udotea,5,20,21,high,-0.001477083,0.003385954,0.004863037,2.292325094
26/10/2021,green,Udotea,6,20,21,high,-0.001257433,0.003761281,0.005018714,2.991237996
